_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
38,João Pessoa,Educação,Cpm Estudante Rebeca Cristina Alves Simoes ,"R. Maria Alves Da Silva, 00 - Mangabeira, João Pessoa - PB, 58058-400",-7.17160351,-34.82844143
39,João Pessoa,Educação,Cria Capistrano de Abreu Estadual,"R. Aurília Lins Rabêlo, SN - Costa e Silva, João Pessoa - PB, 58081-060",-7.18133018,-34.89743040
40,João Pessoa,Educação,EEEF Capitulina Sátyro,"R. Valda Cruz Cordeiro, SN - João Agripino, João Pessoa - PB, 58034-050",-7.10611161,-34.84376473
41,João Pessoa,Educação,Escola Estadual de Ensino Fundamental e Médio José do Patrocínio,"R. Antônio Corrêa da Costa - Funcionários, João Pessoa - PB, 58078-360",-7.18169298,-34.88164645
42,João Pessoa,Educação,ESCOLA CIDADÃ INTEGRAL PROFESSOR LUIZ GONZAGA DE ALBUQUERQUE BURITY.,"Av. Monsenhor Walfredo Leal, 440 - Centro, João Pessoa - PB, 58020-540",-7.11715161,-34.87414153
43,João Pessoa,Educação,ECIT Maria do Carmo de Miranda,"Av. João Luiz Ribeiro de Morais, 266 - Jaguaribe, João Pessoa - PB, 58013-230",-7.12731456,-34.88017563
44,João Pessoa,Educação,ECITOlivina Olivia Carneiro da Cunha,"Av. Duarte da Silveira, 450 - Centro, João Pessoa - PB, 58013-280",-7.12145603,-34.87458345
45,João Pessoa,Educação,ECIT Padre Hildon Bandeira,"Av. Caetano Filgueiras - Torre, João Pessoa - PB, 58040-040",-7.12121571,-34.86061699
46,João Pessoa,Educação,ECIT Pedro Anísio Bezerra Dantas,"Rua Gil Furtado, S/N - Bairro dos Ipês, João Pessoa - PB, 58030-206",-7.10581911,-34.85837753
47,João Pessoa,Educação,ECIT Prefeito Oswaldo Pessoa,"R. Prof. José Holmes, 96 - Ernani Sátiro, João Pessoa - PB, 58080-400",-7.17430985,-34.89445383
48,João Pessoa,Educação,ECIT Professor Raul Cordula,"Av. Carneiro da Cunha, 3000 - Torre, João Pessoa - PB, 58040-240",-7.12840552,-34.85723770
49,João Pessoa,Educação,ECIT Raul Machado,"AVENIDA, R. Carneiro Campos, S/N - Ilha do Bpo., João Pessoa - PB, 58011-440",-7.12588041,-34.89863063
50,João Pessoa,Educação,ECIT Mestre Sivuca,"R. Flor de Iris, 399-333 - Mangabeira, João Pessoa - PB, 58033-455",-7.17720084,-34.82200608
51,João Pessoa,Educação,EEEF ADELAIDE NOVAIS,"R. Pres. Félix Antônio, 1456-1498 - Cruz das Armas, João Pessoa - PB, 58085-460",-7.15371776,-34.88893299
52,João Pessoa,Educação,EEEF ALMIRANTE TAMANDARE,"Av. Cmte. Matos Cardoso, SN - Castelo Branco, João Pessoa - PB, 58050-120",-7.13059688,-34.84293170
